# Depth,LaunchAngle,ArrivalAngle,ArrivalAngleCalc
1.170000000000000000e+03,2.830078124999999645e+01,5.755458126362513838e+01,3.863053882565721153e+01
1.180000000000000000e+03,2.830078124999999645e+01,3.832399340526863796e+01,3.863053882565721153e+01
1.190000000000000000e+03,2.794921875000000355e+01,5.653994970577264212e+01,3.810979006461528229e+01
1.200000000000000000e+03,2.794921875000000355e+01,3.759663080445500327e+01,3.810979006461528229e+01
1.210000000000000000e+03,2.759765625000000000e+01,5.554862748689085095e+01,3.759104749580166782e+01
1.220000000000000000e+03,2.759765625000000000e+01,3.692218084070473338e+01,3.759104749580166782e+01
1.230000000000000000e+03,2.724609375000000000e+01,5.457863300296693154e+01,3.707424645907979510e+01
1.240000000000000000e+03,2.724609375000000000e+01,3.630901163888095340e+01,3.707424645907979510e+01
1.250000000000000000e+03,2.689453124999999645e+01,5.362823499212803569e+01,3.655932492927713184e+01
1.260000000000000000e+03,2.689453124999999645e+01,3.575259824548140841e+01,3.655932492927713184e+01
1.270000000000000000e+03,2.654296875000000000e+01,5.269591271083196204e+01,3.604622336658326986e+01
1.280000000000000000e+03,2.654296875000000000e+01,3.524957238228862622e+01,3.604622336658326986e+01
1.290000000000000000e+03,2.619140625000000000e+01,5.178031884701495358e+01,3.553488457738472306e+01
1.300000000000000000e+03,2.619140625000000000e+01,3.479762820487336228e+01,3.553488457738472306e+01
1.310000000000000000e+03,2.583984374999999645e+01,5.088025503596423960e+01,3.502525358466109395e+01
1.320000000000000000e+03,2.583984374999999645e+01,3.440167648775300790e+01,3.502525358466109395e+01
1.330000000000000000e+03,2.548828125000000355e+01,4.999464894819934102e+01,3.451727750715217979e+01
1.340000000000000000e+03,2.548828125000000355e+01,3.406155833161056279e+01,3.451727750715217979e+01
1.350000000000000000e+03,2.513671874999999289e+01,4.912253871355884627e+01,3.401090544658160297e+01
1.360000000000000000e+03,2.513671874999999289e+01,3.377841110759495535e+01,3.401090544658160297e+01
1.370000000000000000e+03,2.478515625000000000e+01,4.826305353924153962e+01,3.350608838228966846e+01
1.380000000000000000e+03,2.478515625000000000e+01,4.826305345582575512e+01,3.350608838228966846e+01
1.390000000000000000e+03,2.478515625000000000e+01,3.252671806537505717e+01,3.350608838228966846e+01
1.400000000000000000e+03,2.443359374999999645e+01,4.741540618340220448e+01,3.300277907268846178e+01
1.410000000000000000e+03,2.443359374999999645e+01,3.234847536317725769e+01,3.300277907268846178e+01
1.420000000000000000e+03,2.408203125000000000e+01,4.657887993316840181e+01,3.250093196300630893e+01
1.430000000000000000e+03,2.408203125000000000e+01,3.224262755510692102e+01,3.250093196300630893e+01
1.440000000000000000e+03,2.373046875000000355e+01,4.575282098932557062e+01,3.200050309883654620e+01
1.450000000000000000e+03,2.373046875000000355e+01,4.575282083883185180e+01,3.200050309883654620e+01
1.460000000000000000e+03,2.373046875000000355e+01,3.120753690537903680e+01,3.200050309883654620e+01
1.470000000000000000e+03,2.337890625000000355e+01,7.270606376263627624e+01,3.150145004504911839e+01
1.480000000000000000e+03,2.337890625000000355e+01,3.121372709734144379e+01,3.150145004504911839e+01
1.490000000000000000e+03,2.337890625000000355e+01,3.029038276087329606e+01,3.150145004504911839e+01
1.500000000000000000e+03,2.302734374999999645e+01,4.412975724232803287e+01,3.100373180966221653e+01
1.510000000000000000e+03,2.302734374999999645e+01,3.033440029203629962e+01,3.100373180966221653e+01
1.520000000000000000e+03,2.267578124999999645e+01,4.333169568821738693e+01,3.050730877230643756e+01
1.530000000000000000e+03,2.267578124999999645e+01,3.047388145548905314e+01,3.050730877230643756e+01
1.540000000000000000e+03,2.267578124999999645e+01,2.954930793634360953e+01,3.050730877230643756e+01
1.550000000000000000e+03,2.232421875000000000e+01,4.254197815912945657e+01,3.001214261694500252e+01
1.560000000000000000e+03,2.232421875000000000e+01,2.973266864416552480e+01,3.001214261694500252e+01
1.570000000000000000e+03,2.232421875000000000e+01,2.885420012926594069e+01,3.001214261694500252e+01
1.580000000000000000e+03,2.197265625000000000e+01,4.176017100031737783e+01,2.951819626854245726e+01
1.590000000000000000e+03,2.197265625000000000e+01,2.908163441534831861e+01,2.951819626854245726e+01
1.600000000000000000e+03,2.162109374999999289e+01,6.244726352097153921e+01,2.902543383339988736e+01
1.610000000000000000e+03,2.162109374999999289e+01,4.098587252623664057e+01,2.902543383339988736e+01
1.620000000000000000e+03,2.162109374999999289e+01,2.851588823170687448e+01,2.902543383339988736e+01
1.630000000000000000e+03,2.126953124999999645e+01,4.021870855131438560e+01,2.853382054289773251e+01
1.640000000000000000e+03,2.126953124999999645e+01,4.021870864089623154e+01,2.853382054289773251e+01
1.650000000000000000e+03,2.126953124999999645e+01,2.803332736086607113e+01,2.853382054289773251e+01
1.660000000000000000e+03,2.091796874999999645e+01,3.945833117348187358e+01,2.804332270040846353e+01
1.670000000000000000e+03,2.091796874999999645e+01,3.945833114964447930e+01,2.804332270040846353e+01
1.680000000000000000e+03,2.091796874999999645e+01,2.763488837491650330e+01,2.804332270040846353e+01
1.690000000000000000e+03,2.091796874999999645e+01,2.683635495957983608e+01,2.804332270040846353e+01
1.700000000000000000e+03,2.056640625000000000e+01,3.870441462221690188e+01,2.755390763116079356e+01
1.710000000000000000e+03,2.056640625000000000e+01,2.731461711600097431e+01,2.755390763116079356e+01
1.720000000000000000e+03,2.056640625000000000e+01,2.651325638000128038e+01,2.755390763116079356e+01
1.730000000000000000e+03,2.021484375000000000e+01,3.795665454712130327e+01,2.706554363485392756e+01
1.740000000000000000e+03,2.021484375000000000e+01,3.795665452244041660e+01,2.706554363485392756e+01
1.750000000000000000e+03,2.021484375000000000e+01,2.627335742958606701e+01,2.706554363485392756e+01
